S. No.,area_type,availability,location,size,society,total_sqft,bath,balcony,price,bedrooms
7606,Super built-up  Area,Ready To Move,Budigere,3 BHK,PrityTr,1636,3.0,2.0,8500000,3.0
7607,Built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Kaiew L,1415,3.0,1.0,6500000,3.0
7608,Plot  Area,Ready To Move,Bommenahalli,3 Bedroom,Prood G,15Acres,3.0,1.0,21700000,3.0
7609,Super built-up  Area,Ready To Move,Green Glen Layout,3 BHK,Soweray,1728,3.0,2.0,12500000,3.0
7610,Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Eladero,1680,3.0,3.0,12500000,3.0
7611,Super built-up  Area,19-Dec,Venkatapura,2 BHK,ThBayah,1235,2.0,1.0,14000000,2.0
7612,Plot  Area,18-May,Yelachenahalli,4 Bedroom,,900,2.0,1.0,11500000,4.0
7613,Built-up  Area,Ready To Move,Yelahanka,4 Bedroom,,3990,4.0,1.0,26000000,4.0
7614,Built-up  Area,Ready To Move,Kasavanhalli,2 BHK,HMonymp,1495,2.0,2.0,8300000,2.0
7615,Plot  Area,Ready To Move,Hennur Road,5 Bedroom,,1500,5.0,1.0,17500000,5.0
7616,Super built-up  Area,Ready To Move,Yeshwanthpur,3 BHK,IBityin,2501,3.0,3.0,13800000,3.0
7617,Carpet  Area,20-Dec,Kanakpura Road,1 BHK,Roiti A,381,1.0,0.0,2800000,1.0
7618,Super built-up  Area,19-Mar,Gopalapura,4 BHK,Sothadr,3301.8,5.0,2.0,57000000,4.0
7619,Super built-up  Area,Ready To Move,Hennur Road,3 BHK,SaireSa,2002,3.0,2.0,12000000,3.0
7620,Built-up  Area,17-Mar,Meenakunte,3 Bedroom,Sreat R,3200,3.0,0.0,26000000,3.0
7621,Plot  Area,Ready To Move,Banjara Layout,2 Bedroom,,1200,2.0,2.0,7000000,2.0
7622,Plot  Area,Ready To Move,Sarjapur  Road,4 Bedroom,,1500,3.0,0.0,23500000,4.0
7623,Plot  Area,17-Sep,Bommasandra,3 Bedroom,IcudiMa,1942,3.0,,9000000,3.0
7624,Super built-up  Area,Ready To Move,Electronics City Phase 1,3 BHK,Shitt S,1450 - 1595,,,6075000,3.0
7625,Built-up  Area,Ready To Move,Thyagaraja Nagar,1 Bedroom,,660,1.0,0.0,9500000,1.0
7626,Plot  Area,Ready To Move,Banashankari Stage III,4 Bedroom,,1200,6.0,2.0,17000000,4.0
7627,Built-up  Area,Ready To Move,Basavanna Nagar,3 BHK,Itala A,1450,3.0,2.0,9000000,3.0
7628,Super built-up  Area,Ready To Move,Electronic City,2 BHK,MDonta ,1039,2.0,1.0,5000000,2.0
7629,Super built-up  Area,Ready To Move,Old Madras Road,2 BHK,Brglede,1210,2.0,1.0,8000000,2.0
7630,Super built-up  Area,Ready To Move,Attibele,2 BHK,DSvar S,995,1.0,1.0,2488000,2.0
7631,Built-up  Area,Ready To Move,Yelahanka,3 BHK,NCarkna,1620,3.0,2.0,9000000,3.0
7632,Built-up  Area,Ready To Move,Choodasandra,3 Bedroom,LGlarAs,3204,4.0,3.0,39500000,3.0
7633,Built-up  Area,Ready To Move,Hebbal Kempapura,3 BHK,GonumPl,3408,3.0,3.0,26000000,3.0
7634,Built-up  Area,Ready To Move,Marathahalli,2 BHK,Kames S,1314,2.0,3.0,5500000,2.0
7635,Super built-up  Area,Ready To Move,Bisuvanahalli,2 BHK,Prityel,945,2.0,1.0,3300000,2.0
7636,Built-up  Area,Ready To Move,Nehru Nagar,3 BHK,Undge T,1374,3.0,2.0,7200000,3.0
7637,Built-up  Area,19-Jan,Kanakpura Road,3 BHK,PrityFa,1603,3.0,3.0,11300000,3.0
7638,Built-up  Area,Ready To Move,Kengeri,3 BHK,Vaens G,1230,2.0,2.0,5200000,3.0
7639,Super built-up  Area,Ready To Move, Basavangudi,1 RK,,670,1.0,1.0,5000000,1.0
7640,Super built-up  Area,Ready To Move,Sarjapur  Road,4 BHK,Ahriaup,1864,3.0,2.0,10500000,4.0
7641,Built-up  Area,18-Jan,Hosa Road,3 Bedroom,Gllas V,2500,3.0,2.0,10000000,3.0
7642,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,DScon S,1625,2.0,2.0,5400000,3.0
7643,Super built-up  Area,Ready To Move,Whitefield,2 BHK,Sonviik,1186,2.0,3.0,5500000,2.0
7644,Plot  Area,Ready To Move,KR Puram,8 Bedroom,,1500,7.0,2.0,38200000,8.0
7645,Super built-up  Area,Ready To Move,Electronic City,2 BHK,GMown E,770,1.0,1.0,3990000,2.0
7646,Super built-up  Area,18-Feb,Varthur,2 BHK,HioraTr,1085,2.0,1.0,4500000,2.0
7647,Super built-up  Area,Ready To Move,Dairy Circle,4 BHK,Soeurri,3754,6.0,2.0,48000000,4.0
7648,Super built-up  Area,Ready To Move,Dodsworth Layout,3 BHK,Ciques ,1893,3.0,2.0,11500000,3.0
7649,Plot  Area,Ready To Move,Thurahalli,4 Bedroom,,600,3.0,2.0,6500000,4.0
7650,Super built-up  Area,Ready To Move,Kundalahalli,3 BHK,AnentAp,1496,2.0,3.0,7800000,3.0
7651,Super built-up  Area,18-Jul,Chandapura,3 BHK,SunceEs,1305,3.0,1.0,3328000,3.0
7652,Super built-up  Area,Ready To Move,Electronics City Phase 1,3 BHK,Shiaa S,1550,2.0,2.0,8200000,3.0
7653,Super built-up  Area,Ready To Move,Marathahalli,3 BHK,,1200,2.0,1.0,5817000,3.0
7654,Super built-up  Area,20-Jan,Badavala Nagar,3 BHK,DNncasa,1494,2.0,2.0,9455000,3.0
7655,Super built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,SJmesst,1286,2.0,2.0,6900000,2.0
7656,Plot  Area,Ready To Move,"Banashankari 6th stage , 2nd block",3 Bedroom,,600,4.0,1.0,10000000,3.0
7657,Super built-up  Area,Ready To Move,Hebbal,3 BHK,MVkleiw,1860,3.0,2.0,9500000,3.0
7658,Built-up  Area,Ready To Move,Raghuvanahalli,1 BHK,,425,1.0,1.0,75000000,1.0
7659,Super built-up  Area,Ready To Move,Haralur Road,2 BHK,RInceeg,1243,2.0,2.0,4500000,2.0
7660,Super built-up  Area,Ready To Move,Brookefield,2 BHK,Stlomg ,1200,2.0,2.0,7500000,2.0
7661,Super built-up  Area,Ready To Move,Sarjapur,2 BHK,Peles P,1044,2.0,2.0,3200000,2.0
7662,Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,SrncyRe,1040,2.0,1.0,4159000,2.0
7663,Super built-up  Area,18-Jun,8th Phase JP Nagar,2 BHK,,1125,2.0,2.0,3694000,2.0
7664,Super built-up  Area,19-Jul,Cunningham Road,3 BHK,,3489,3.0,1.0,66200000,3.0
7665,Super built-up  Area,Ready To Move,Subramanyapura,3 BHK,Prldsri,1278,2.0,2.0,5900000,3.0
7666,Super built-up  Area,Ready To Move,Chelekare,6 BHK,,2400,6.0,,9800000,6.0
7667,Super built-up  Area,Ready To Move,Belatur,2 BHK,ViaarSa,1250,2.0,1.0,4300000,2.0
7668,Plot  Area,Ready To Move,Vijayanagar,5 Bedroom,,2400,6.0,3.0,12500000,5.0
7669,Plot  Area,Ready To Move,KR Puram,5 Bedroom,Henue A,4166,5.0,,56000000,5.0
7670,Super built-up  Area,Ready To Move,Lakshminarayana Pura,2 BHK,,1210,2.0,2.0,7500000,2.0
7671,Super built-up  Area,Ready To Move,8th Phase JP Nagar,4 BHK,,1200,3.0,2.0,11000000,4.0
7672,Super built-up  Area,18-Apr,Sarjapur  Road,3 BHK,AsastDe,1157,2.0,1.0,5784000,3.0
7673,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1185,2.0,1.0,5115000,2.0
7674,Super built-up  Area,Ready To Move,Kalena Agrahara,3 BHK,MancyRe,1450,3.0,3.0,10000000,3.0
7675,Super built-up  Area,Ready To Move,Old Madras Road,3 BHK,Sastaat,1859,3.0,2.0,12100000,3.0
7676,Super built-up  Area,Ready To Move,Rajaji Nagar,2 BHK,PhestOn,1763,3.0,2.0,26200000,2.0
7677,Super built-up  Area,17-Sep,Attibele,2 BHK,Inenshe,900,1.0,1.0,2500000,2.0
7678,Super built-up  Area,Ready To Move,Ramamurthy Nagar,3 BHK,Foghaa ,1305,3.0,1.0,6000000,3.0
7679,Built-up  Area,Ready To Move,Srirampuram,3 BHK,,1200,2.0,2.0,10000000,3.0
7680,Super built-up  Area,Ready To Move,Thanisandra,1 BHK,Gontsoo,763 - 805,1.0,0.0,3528499,1.0
7681,Plot  Area,Immediate Possession,Kasavanhalli,,,5000,,,40000000,
7682,Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Shthi S,1150,2.0,0.0,3679999,2.0
7683,Built-up  Area,Ready To Move,Whitefield,3 BHK,Agtiaur,1806,3.0,3.0,8500000,3.0
7684,Super built-up  Area,Ready To Move,Kudlu,2 BHK,Srrnasa,1027,2.0,2.0,4200000,2.0
7685,Super built-up  Area,19-Jul,Uttarahalli,2 BHK,DSera S,1002,2.0,1.0,4008000,2.0
7686,Super built-up  Area,18-Apr,Electronic City Phase II,3 BHK,Sryalan,1220,2.0,1.0,3621000,3.0
7687,Super built-up  Area,Ready To Move,Whitefield,2 BHK,SMuilan,1109,2.0,1.0,3522000,2.0
7688,Built-up  Area,Ready To Move,Uttarahalli,2 BHK,DSera S,1002,2.0,1.0,4008000,2.0
7689,Super built-up  Area,Ready To Move,Narayanapura,2 BHK,AriosHe,1308,2.0,1.0,8904000,2.0
7690,Super built-up  Area,19-Mar,Hennur Road,2 BHK,Puachal,1232,2.0,1.0,6959999,2.0
7691,Super built-up  Area,18-Apr,Haralur Road,2 BHK,,1027,2.0,2.0,4400000,2.0
7692,Built-up  Area,Ready To Move,Kalyan nagar,2 BHK,,1250,2.0,2.0,6500000,2.0
7693,Plot  Area,Ready To Move,2nd Phase JP Nagar,6 Bedroom,,900,6.0,3.0,17000000,6.0
7694,Plot  Area,Ready To Move,KR Puram,4 Bedroom,,960,4.0,2.0,8000000,4.0
7695,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1255,2.0,1.0,5387000,2.0
7696,Built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,DLhtsnd,1434,3.0,3.0,8400000,3.0
7697,Built-up  Area,Ready To Move,Doddathoguru,2 BHK,Vabow R,925,2.0,2.0,3000000,2.0
7698,Super built-up  Area,19-Dec,Jakkur,3 BHK,Ceezey ,1858,3.0,1.0,12300000,3.0
7699,Built-up  Area,Ready To Move,Jakkuru Layout,2 BHK,Vithm R,1205,2.0,1.0,7000000,2.0
7700,Plot  Area,18-Jul,Nelamangala,3 Bedroom,V2gesre,1500,3.0,2.0,9000000,3.0
7701,Plot  Area,Ready To Move,Nagawara Junction,3 Bedroom,,1200,3.0,2.0,20000000,3.0
7702,Super built-up  Area,Ready To Move,Mysore Road,2 BHK,,1020,2.0,2.0,4895000,2.0
7703,Super built-up  Area,Ready To Move,Thanisandra,2 BHK,Bhmesy ,965,2.0,1.0,5600000,2.0
7704,Plot  Area,Ready To Move,7th Phase JP Nagar,5 Bedroom,,1800,6.0,3.0,27000000,5.0
7705,Plot  Area,Ready To Move,Hoysalanagar,6 Bedroom,,1200,4.0,2.0,9000000,6.0
7706,Super built-up  Area,Ready To Move,Battarahalli,2 BHK,PaontWa,1636,2.0,2.0,8289000,2.0
7707,Super built-up  Area,18-Dec,Kundalahalli,3 BHK,Dieldli,1724,3.0,1.0,12500000,3.0
7708,Super built-up  Area,18-Oct,Whitefield,2 BHK,Prtates,1216,2.0,1.0,6700000,2.0
7709,Super built-up  Area,18-Feb,Yelahanka,1 BHK,Prensya,654,1.0,1.0,3625000,1.0
7710,Built-up  Area,Ready To Move,Chikkabanavar,4 Bedroom,,2460,7.0,2.0,8000000,4.0
7711,Super built-up  Area,Ready To Move,Abbaiah Reddy Layout,2 BHK,,1190,2.0,2.0,4100000,2.0
7712,Plot  Area,Ready To Move,Tavarekere,7 Bedroom,,1200,5.0,2.0,18000000,7.0
7713,Super built-up  Area,Ready To Move,Budigere,3 BHK,PrityTr,1636,3.0,2.0,9200000,3.0
7714,Super built-up  Area,18-Dec,Hennur Road,2 BHK,Shxorm ,1195,2.0,2.0,7300000,2.0
7715,Super built-up  Area,Ready To Move,Nagavara,3 BHK,Vancyat,2400,3.0,3.0,25100000,3.0
7716,Super built-up  Area,Ready To Move,1st Block HRBR Layout,2 BHK,,1250,2.0,1.0,6700000,2.0
7717,Super built-up  Area,Ready To Move,Whitefield,3 BHK,Nillsre,1452,3.0,,9000000,3.0
7718,Super built-up  Area,19-Dec,Thanisandra,3 BHK,Bhe 2ko,1546,3.0,1.0,9500000,3.0
7719,Built-up  Area,Ready To Move,Sarjapur  Road,4 Bedroom,Cetattu,3307 - 3464,6.0,0.0,14200000,4.0
7720,Plot  Area,Ready To Move,Indira Nagar,3 Bedroom,,1440,3.0,1.0,27500000,3.0
7721,Plot  Area,Ready To Move,Naganathapura,2 Bedroom,,2260,3.0,1.0,8000000,2.0
7722,Plot  Area,Ready To Move,Tavarekere,4 Bedroom,,2700,3.0,2.0,9000000,4.0
7723,Super built-up  Area,Ready To Move,Indira Nagar,2 BHK,Suurtni,1475,2.0,2.0,17100000,2.0
7724,Built-up  Area,Ready To Move,JP Nagar,4 BHK,Arentra,3000,3.0,2.0,15000000,4.0
7725,Built-up  Area,Ready To Move,KG Halli,1 Bedroom,,375,1.0,0.0,2600000,1.0
7726,Super built-up  Area,Ready To Move,Balagere,2 BHK,Soresea,1007,2.0,1.0,6600000,2.0
7727,Plot  Area,Ready To Move,Kanakpura Road,1 Bedroom,,1.26Acres,1.0,0.0,12500000,1.0
7728,Super built-up  Area,Ready To Move,Cubbon Road,4 BHK,,5422,6.0,,190000000,4.0
7729,Super built-up  Area,Ready To Move,Hennur Road,2 BHK,,1020,2.0,3.0,4700000,2.0
7730,Super built-up  Area,Ready To Move,Lavelle Road,2 BHK,,1000,2.0,0.0,15000000,2.0
7731,Plot  Area,Ready To Move,Varanasi,2 Bedroom,,800,3.0,1.0,5950000,2.0
7732,Plot  Area,Ready To Move,Geddalahalli,5 Bedroom,,1200,3.0,2.0,9500000,5.0
7733,Super built-up  Area,Ready To Move,Marathahalli,2 BHK,,1125,2.0,3.0,5500000,2.0
7734,Plot  Area,Ready To Move,Kudlu Gate,9 Bedroom,,1150,9.0,,14000000,9.0
7735,Built-up  Area,Ready To Move,Kada Agrahara,3 BHK,CoaveAt,909,2.0,1.0,4300000,3.0
7736,Built-up  Area,Ready To Move,Whitefield,4 Bedroom,,2850,5.0,0.0,24000000,4.0
7737,Super built-up  Area,Ready To Move,Dodsworth Layout,2 BHK,Ciques ,1400,2.0,3.0,8500000,2.0
7738,Super built-up  Area,Ready To Move,Kadugodi,2 BHK,,1152,2.0,2.0,6100000,2.0
7739,Super built-up  Area,Ready To Move,Subramanyapura,2 BHK,,958,2.0,1.0,3449000,2.0
7740,Super built-up  Area,Ready To Move,Whitefield,2 BHK,SrireSo,1150,2.0,2.0,5500000,2.0
7741,Super built-up  Area,Ready To Move,Old Madras Road,3 BHK,Brica E,2990,5.0,1.0,17300000,3.0
7742,Super built-up  Area,Ready To Move,Bellandur,2 BHK,Trows M,1310,2.0,2.0,8500000,2.0
7743,Super built-up  Area,Ready To Move,Hosur Road,3 BHK,Saageat,1590,2.0,2.0,12600000,3.0
7744,Super built-up  Area,Ready To Move,Green Glen Layout,3 BHK,SoosePr,1645,3.0,2.0,11000000,3.0
7745,Built-up  Area,Ready To Move,Veerabhadra Nagar,3 Bedroom,,1800,2.0,2.0,10000000,3.0
7746,Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Soitya ,1795,3.0,2.0,15000000,3.0
7747,Super built-up  Area,Ready To Move,8th Phase JP Nagar,2 BHK,,1100,2.0,3.0,3500000,2.0
7748,Super built-up  Area,18-Nov,Thanisandra,1 BHK,Bhe 2ko,620 - 934,1.0,0.0,3853499,1.0
7749,Super built-up  Area,Ready To Move,Kalkere,2 BHK,Sothin ,925,2.0,2.0,7000000,2.0
7750,Super built-up  Area,Ready To Move,Basavangudi,3 BHK,,1542.14,3.0,3.0,12000000,3.0
7751,Plot  Area,Ready To Move,Konanakunte,4 Bedroom,Prasa W,3746,6.0,1.0,37500000,4.0
7752,Super built-up  Area,Ready To Move,Thanisandra,3 BHK,MenueNo,1430,2.0,2.0,5400000,3.0
7753,Super built-up  Area,Ready To Move,Bommanahalli,2 BHK,Jaw 2 L,1020,2.0,2.0,5500000,2.0
7754,Plot  Area,Ready To Move,Ramamurthy Nagar Extension,4 Bedroom,,750,2.0,1.0,4200000,4.0
7755,Super built-up  Area,18-May,Electronic City Phase II,2 BHK,Sryalan,1140,2.0,1.0,3292000,2.0
7756,Built-up  Area,Ready To Move,Anekal,3 BHK,,967,2.0,1.0,4500000,3.0
7757,Super built-up  Area,19-Jun,Hebbal,4 BHK,Raard B,2470,4.0,2.0,20300000,4.0
7758,Built-up  Area,Ready To Move,Maruthi Nagar,2 BHK,PavanSa,850,1.0,0.0,3550000,2.0
7759,Super built-up  Area,Ready To Move,Vidhyanagar Cross,2 BHK,,1100,2.0,2.0,3200000,2.0
7760,Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Soitya ,1697,3.0,2.0,11000000,3.0
7761,Super built-up  Area,Ready To Move,Varthur,2 BHK,,1250,2.0,2.0,4700000,2.0
7762,Super built-up  Area,Ready To Move,Gottigere,2 BHK,Pridei ,1120,2.0,2.0,5000000,2.0
7763,Plot  Area,Ready To Move,NRI Layout,4 Bedroom,,1200,4.0,0.0,9500000,4.0
7764,Plot  Area,Ready To Move,Hennur Road,5 Bedroom,,5100,6.0,3.0,37500000,5.0
7765,Plot  Area,Ready To Move,7th Block Jayanagar,4 Bedroom,,2400,3.0,2.0,48000000,4.0
7766,Super built-up  Area,Ready To Move,Hebbal,2 BHK,,1200,2.0,1.0,5200000,2.0
7767,Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,,1100,2.0,1.0,4400000,2.0
7768,Super built-up  Area,Ready To Move, Devarachikkanahalli,3 BHK,,1417,2.0,2.0,7600000,3.0
7769,Built-up  Area,Ready To Move,Thanisandra,3 BHK,Bhmesy ,1492,3.0,1.0,8800000,3.0
7770,Super built-up  Area,22-Nov,Devanahalli,3 BHK,Sabixtt,1498,3.0,3.0,7915000,3.0
7771,Built-up  Area,Ready To Move,Bellari Road,4 BHK,Sohid O,3500,2.0,1.0,35000000,4.0
7772,Super built-up  Area,Ready To Move,Kundalahalli,2 BHK,Rasom B,1010,2.0,1.0,4827000,2.0
7773,Super built-up  Area,Ready To Move,Hennur,2 BHK,Shateor,1255,2.0,2.0,5350000,2.0
7774,Super built-up  Area,Ready To Move,Channasandra,2 BHK,Unm 2El,1050,2.0,1.0,3500000,2.0
7775,Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,SoitaCa,1847,3.0,2.0,12500000,3.0
7776,Super built-up  Area,18-May,1st Stage Indira Nagar,2 BHK,,1200,2.0,2.0,5500000,2.0
7777,Super built-up  Area,Ready To Move,Bellandur,2 BHK,,982,2.0,2.0,3728000,2.0
7778,Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,SoisoCa,2144.6,4.0,2.0,14500000,3.0
7779,Super built-up  Area,Ready To Move,Kengeri,2 BHK,VBeriav,750,2.0,1.0,3650000,2.0
7780,Super built-up  Area,Ready To Move,Electronic City,2 BHK,Itvir M,919,2.0,2.0,3500000,2.0
7781,Super built-up  Area,Ready To Move,Budigere,2 BHK,PrityTr,1087,2.0,1.0,5430000,2.0
7782,Built-up  Area,Ready To Move,Sunder Ram Shetty Nagar,3 BHK,Bustain,1480,3.0,2.0,7400000,3.0
7783,Built-up  Area,Ready To Move,Tindlu,2 BHK,,1180,2.0,2.0,5200000,2.0
7784,Super built-up  Area,Ready To Move,6th Block Jayanagar,3 BHK,,2100,4.0,2.0,25500000,3.0
7785,Super built-up  Area,Ready To Move,Jigani,3 BHK,DLhtsan,1221,3.0,2.0,6500000,3.0
7786,Super built-up  Area,Ready To Move,Haralur Road,2 BHK,,1194,2.0,2.0,4600000,2.0
7787,Built-up  Area,Ready To Move,Thanisandra,3 BHK,MSureRR,2072,3.0,2.0,12200000,3.0
7788,Built-up  Area,18-Dec,Whitefield,3 BHK,,1600,3.0,2.0,6900000,3.0
7789,Super built-up  Area,Ready To Move,Sahakara Nagar,3 BHK,,2200,3.0,2.0,9800000,3.0
7790,Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,Brway G,1640,3.0,3.0,22000000,3.0
7791,Super built-up  Area,Ready To Move,Kaikondrahalli,2 BHK,Srsica ,1253,2.0,2.0,8150000,2.0
7792,Super built-up  Area,Ready To Move,Hennur Road,2 BHK,Koagati,1061,2.0,1.0,5492000,2.0
7793,Super built-up  Area,Ready To Move,Marathahalli,3 BHK,,1950,3.0,2.0,11500000,3.0
7794,Built-up  Area,Ready To Move,Marathahalli,2 BHK,Suvals ,1250,2.0,2.0,6800000,2.0
7795,Super built-up  Area,Ready To Move,Hennur Road,3 BHK,MItatHa,1585,2.0,3.0,8000000,3.0
7796,Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,JRrnauv,1452,3.0,3.0,6098000,3.0
7797,Super built-up  Area,Ready To Move,Kammasandra,2 BHK,Prncy R,1015,2.0,2.0,3700000,2.0
7798,Super built-up  Area,19-Aug,Begur Road,4 BHK,Pruthg ,2462 - 2467,6.0,0.0,11800000,4.0
7799,Super built-up  Area,Ready To Move,Marathahalli,2 BHK,,1125,2.0,2.0,5680000,2.0
7800,Super built-up  Area,18-May,Electronic City Phase II,2 BHK,MJtroty,1116,2.0,2.0,4000000,2.0
7801,Built-up  Area,Ready To Move,Kadarenahalli,1 Bedroom,,400,1.0,0.0,3500000,1.0
7802,Super built-up  Area,Ready To Move,Kasavanhalli,4 BHK,Vaidsi ,4000,4.0,2.0,32500000,4.0
7803,Super built-up  Area,Ready To Move,Hebbal,4 BHK,RMudeat,3900,4.0,2.0,41000000,4.0
7804,Super built-up  Area,Ready To Move,Old Madras Road,2 BHK,Sastaat,1300,2.0,2.0,10000000,2.0
7805,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1419,2.0,1.0,6042000,2.0
7806,Super built-up  Area,Ready To Move,Punappa Layout,3 BHK,DSionhe,1310,2.0,1.0,5500000,3.0
7807,Super built-up  Area,Ready To Move,Thigalarapalya,3 BHK,Prtanha,2072,4.0,2.0,15200000,3.0
7808,Built-up  Area,Ready To Move,Kaggadasapura,2 BHK,KKersow,1240,2.0,1.0,5858000,2.0
7809,Built-up  Area,Ready To Move,Chamrajpet,3 BHK,,1565,3.0,2.0,9891000,3.0
7810,Super built-up  Area,Ready To Move,Budigere,3 BHK,PrityTr,1820,3.0,2.0,8900000,3.0
7811,Plot  Area,Ready To Move,Gubbalala,3 Bedroom,,2500,3.0,1.0,8800000,3.0
7812,Plot  Area,Ready To Move,KR Puram,5 Bedroom,Skdia A,3657,5.0,,31000000,5.0
7813,Super built-up  Area,Ready To Move,Hosa Road,2 BHK,,1245,2.0,1.0,6200000,2.0
7814,Super built-up  Area,Ready To Move,GM Palaya,3 BHK,MSuntra,1315,3.0,1.0,6500000,3.0
7815,Super built-up  Area,Ready To Move,Kenchenahalli,3 BHK,Unateit,1410,2.0,2.0,7300000,3.0
7816,Super built-up  Area,Ready To Move,Dasarahalli,2 BHK,Indesve,1375,2.0,1.0,6000000,2.0
7817,Super built-up  Area,Ready To Move,Old Madras Road,2 BHK,Sastaat,1299,2.0,2.0,9500000,2.0
7818,Super built-up  Area,Ready To Move,Pampa Extension,2 BHK,Pancy R,993,2.0,3.0,4550000,2.0
7819,Plot  Area,Ready To Move,Bommasandra Industrial Area,2 Bedroom,,1200,3.0,0.0,4500000,2.0
7820,Super built-up  Area,Ready To Move,Lavelle Road,2 BHK,,985,2.0,1.0,15600000,2.0
7821,Built-up  Area,Ready To Move,4th Block Koramangala,4 Bedroom,,2400,5.0,3.0,18000000,4.0
7822,Super built-up  Area,18-Nov,Hebbal,3 BHK,Magiaya,1255,2.0,1.0,9500000,3.0
7823,Super built-up  Area,22-Jun,Hoodi,3 BHK,GoAirej,1655,3.0,2.0,13100000,3.0
7824,Super built-up  Area,18-Dec,Whitefield,4 BHK,Prtates,2830,5.0,3.0,19000000,4.0
7825,Super built-up  Area,Ready To Move, Sector 1 HSR Layout,1 BHK,,6000,1.0,1.0,27600000,1.0
7826,Built-up  Area,Ready To Move,Electronic City,2 BHK,Itelaa ,550,1.0,1.0,1500000,2.0
7827,Super built-up  Area,Ready To Move,Balaji Gardens Layout,1 BHK,,825,2.0,1.0,4000000,1.0
7828,Super built-up  Area,20-Aug,Begur Road,3 BHK,Pruthg ,1634,3.0,1.0,11100000,3.0
7829,Plot  Area,Ready To Move,Kogilu,8 Bedroom,,1200,6.0,3.0,10500000,8.0
7830,Super built-up  Area,Ready To Move,Banaswadi,2 BHK,,1222,2.0,2.0,8000000,2.0
7831,Super built-up  Area,Ready To Move,Gottigere,3 BHK,Pridei ,1500,3.0,2.0,6300000,3.0
7832,Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,,1890,4.0,2.0,10000000,3.0
7833,Built-up  Area,Ready To Move,Hegde Nagar,4 Bedroom,Sotosty,3750,6.0,2.0,37500000,4.0
7834,Super built-up  Area,Ready To Move,Hulimavu,2 BHK,,850,1.0,1.0,3950000,2.0
7835,Super built-up  Area,Ready To Move,Whitefield,2 BHK,Veales ,1295,2.0,3.0,7850000,2.0
7836,Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,DSndsod,1320,2.0,1.0,10000000,2.0
7837,Built-up  Area,Ready To Move,ISRO Layout,4 Bedroom,,950,3.0,3.0,17900000,4.0
7838,Plot  Area,Ready To Move,Hebbal,4 Bedroom,,1200,4.0,2.0,22500000,4.0
7839,Built-up  Area,Ready To Move,2nd Stage Nagarbhavi,4 Bedroom,,3000,3.0,3.0,17000000,4.0
7840,Built-up  Area,Ready To Move,Harlur,2 BHK,,1197,2.0,1.0,8200000,2.0
7841,Super built-up  Area,Ready To Move,Hoysalanagar,3 BHK,,1320,2.0,3.0,6000000,3.0
7842,Plot  Area,Ready To Move,Billekahalli,5 Bedroom,,1180,5.0,2.0,9850000,5.0
7843,Super built-up  Area,20-Dec,Whitefield,1 BHK,Oreldhi,840,1.0,1.0,5760000,1.0
7844,Super built-up  Area,20-Dec,Whitefield,1 BHK,Somns T,540 - 740,1.0,0.0,1983000,1.0
7845,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,GrrvaGr,1693,3.0,1.0,7138000,3.0
7846,Super built-up  Area,Ready To Move,Kodihalli,2 BHK,,1000,2.0,1.0,6200000,2.0
7847,Built-up  Area,Ready To Move,Babusapalaya,2 BHK,AReenui,1305,2.0,1.0,7000000,2.0
7848,Built-up  Area,Ready To Move,Kodichikkanahalli,1 BHK,Jae 1ke,450,1.0,1.0,1800000,1.0
7849,Super built-up  Area,Ready To Move,CV Raman Nagar,1 BHK,Pu270a ,705,1.0,1.0,5700000,1.0
7850,Super built-up  Area,Ready To Move,Ilyas Nagar,4 BHK,,750,6.0,2.0,7500000,4.0
7851,Built-up  Area,Ready To Move,Tumkur Road,5 Bedroom,,4800,5.0,2.0,15000000,5.0
7852,Built-up  Area,Ready To Move,Koramangala Industrial Layout,4 Bedroom,,5000,5.0,,60000000,4.0
7853,Plot  Area,Ready To Move,Gubbalala,4 Bedroom,,5000,4.0,3.0,42500000,4.0
7854,Built-up  Area,18-Dec,Whitefield,3 BHK,,1991,3.0,2.0,10400000,3.0
